sim,scenario,lmm_coef,lmm_pval,lmm_reject,ancova_coef,ancova_pval,ancova_reject,lcmm_coef,lcmm_pval,lcmm_reject,jm_coef,jm_pval,jm_reject,jm_alpha,n_subjects,n_events
1,class_specific,0.364221,0.002774,1,3.370256,0.003254,1,0.429318,0.000000,1,0.360685,0.003283,1,-0.047599,400,151
2,class_specific,0.185422,0.105820,0,1.277909,0.238451,0,0.424958,0.000000,1,0.182500,0.116976,0,-0.060341,400,131
3,class_specific,0.219794,0.053983,0,2.365158,0.027061,1,0.432155,0.000000,1,0.215665,0.060963,0,-0.046353,400,149
4,class_specific,0.321592,0.003452,1,3.619154,0.000238,1,0.392051,0.000000,1,0.309163,0.005959,1,-0.076197,400,142
5,class_specific,0.523605,0.000001,1,3.138549,0.001347,1,0.500217,0.000000,1,0.530119,0.000002,1,-0.071787,400,158
6,class_specific,0.325303,0.005180,1,2.868697,0.009548,1,0.365893,0.000000,1,0.327998,0.005270,1,-0.049852,400,148
7,class_specific,0.290577,0.015414,1,2.756177,0.012003,1,0.451327,0.000000,1,0.279894,0.022011,1,-0.077559,400,141
8,class_specific,0.289489,0.013084,1,2.126801,0.054244,0,0.474756,0.000000,1,0.295526,0.012676,1,-0.070718,400,142
9,class_specific,0.381037,0.001930,1,2.000700,0.069554,0,0.311803,0.000000,1,0.389724,0.001841,1,-0.070037,400,148
10,class_specific,0.449507,0.000068,1,4.135400,0.000119,1,0.477237,0.000000,1,0.441325,0.000116,1,-0.064515,400,146
11,class_specific,0.117252,0.325351,0,1.651205,0.125545,0,0.519441,0.000000,1,0.107212,0.375569,0,-0.059380,400,156
12,class_specific,0.287291,0.012780,1,2.947205,0.006398,1,0.542022,0.000000,1,0.282116,0.016416,1,-0.078654,400,141
13,class_specific,0.184697,0.106648,0,2.019721,0.057739,0,0.407683,0.000000,1,0.181563,0.117083,0,-0.061823,400,151
14,class_specific,0.237743,0.038333,1,1.328135,0.199953,0,0.500543,0.000000,1,0.241716,0.039339,1,-0.078017,400,149
15,class_specific,0.273233,0.026095,1,1.640312,0.134011,0,0.470787,0.000000,1,0.291015,0.019895,1,-0.064156,400,163
16,class_specific,0.151141,0.149957,0,1.322137,0.191814,0,0.432170,0.000000,1,0.150947,0.153993,0,-0.048940,400,130
17,class_specific,0.174712,0.137896,0,1.632569,0.133202,0,0.453272,0.000000,1,0.170717,0.151728,0,-0.061906,400,164
18,class_specific,0.310796,0.007688,1,2.576951,0.018773,1,0.460655,0.000000,1,0.305623,0.010010,1,-0.071854,400,136
19,class_specific,0.175271,0.104172,0,1.415875,0.153402,0,0.358357,0.000000,1,0.169517,0.123278,0,-0.080787,400,152
20,class_specific,0.151429,0.195313,0,1.665693,0.132431,0,0.432091,0.000000,1,0.139859,0.236330,0,-0.060508,400,143
21,class_specific,0.293389,0.007990,1,2.601462,0.010002,1,0.480995,0.000000,1,0.292749,0.009604,1,-0.080670,400,157
22,class_specific,0.244872,0.033842,1,1.741248,0.103018,0,0.394035,0.000000,1,0.255895,0.029527,1,-0.076759,400,143
23,class_specific,0.294431,0.010709,1,2.761849,0.009032,1,0.485514,0.000000,1,0.295943,0.011584,1,-0.070248,400,150
24,class_specific,0.348910,0.002623,1,2.861365,0.008413,1,0.525382,0.000000,1,0.345905,0.003370,1,-0.069895,400,141
25,class_specific,-0.010082,0.930662,0,0.221355,0.835657,0,0.398641,0.000000,1,-0.014938,0.898732,0,-0.067471,400,148
26,class_specific,0.359054,0.001774,1,3.949311,0.000158,1,0.509860,0.000000,1,0.346115,0.003206,1,-0.086853,400,142
27,class_specific,0.193973,0.080485,0,2.525926,0.013782,1,0.374944,0.000000,1,0.183046,0.103516,0,-0.059429,400,149
28,class_specific,0.209834,0.067903,0,3.158656,0.002661,1,0.404868,0.000000,1,0.194762,0.094793,0,-0.059181,400,155
29,class_specific,0.224722,0.045620,1,2.626932,0.015636,1,0.458139,0.000000,1,0.218105,0.055639,0,-0.060333,400,140
30,class_specific,0.241108,0.033818,1,2.266198,0.032259,1,0.435613,0.000000,1,0.237593,0.039082,1,-0.067838,400,139
31,class_specific,0.288740,0.007673,1,2.151762,0.027867,1,0.414569,0.000000,1,0.289475,0.008944,1,-0.079424,400,153
32,class_specific,0.322804,0.006345,1,2.693576,0.009388,1,0.409776,0.000000,1,0.329869,0.006347,1,-0.075658,400,163
33,class_specific,0.244590,0.028966,1,1.535862,0.152866,0,0.425291,0.000000,1,0.248279,0.028487,1,-0.060497,400,131
34,class_specific,0.122021,0.308714,0,1.231132,0.255240,0,0.428931,0.000000,1,0.110499,0.363122,0,-0.067317,400,154
35,class_specific,0.111896,0.304134,0,1.467017,0.143613,0,0.385779,0.000000,1,0.099341,0.369578,0,-0.063577,400,150
36,class_specific,0.270662,0.020006,1,2.156806,0.036091,1,0.415547,0.000000,1,0.271917,0.021805,1,-0.071781,400,147
37,class_specific,0.005485,0.961838,0,0.045364,0.965603,0,0.556654,0.000000,1,-0.001529,0.989507,0,-0.061211,400,149
38,class_specific,0.255514,0.028916,1,2.941278,0.006439,1,0.442071,0.000000,1,0.245636,0.039161,1,-0.077846,400,133
39,class_specific,0.041567,0.711510,0,2.026163,0.055885,0,0.474892,0.000000,1,0.028265,0.803409,0,-0.055353,400,151
40,class_specific,0.130350,0.245290,0,0.710864,0.487099,0,0.460477,0.000000,1,0.133164,0.244400,0,-0.077684,400,144
41,class_specific,0.211533,0.056893,0,1.699851,0.118584,0,0.394623,0.000000,1,0.212837,0.057463,0,-0.054322,400,129
42,class_specific,0.336542,0.002705,1,3.351796,0.001582,1,0.480906,0.000000,1,0.329201,0.003852,1,-0.064846,400,144
43,class_specific,0.110080,0.345082,0,1.227619,0.248250,0,0.370224,0.000000,1,0.099947,0.400155,0,-0.079244,400,158
44,class_specific,0.223670,0.054820,0,2.175101,0.042513,1,0.508059,0.000000,1,0.217957,0.065282,0,-0.067203,400,140
45,class_specific,0.005150,0.965508,0,-0.557537,0.604132,0,0.369969,0.000000,1,0.002466,0.983708,0,-0.068009,400,147
46,class_specific,0.357789,0.002506,1,3.119429,0.004587,1,0.502923,0.000000,1,0.354602,0.003127,1,-0.062732,400,158
47,class_specific,0.224345,0.053241,0,2.819494,0.011112,1,0.457648,0.000000,1,0.212855,0.070012,0,-0.059347,400,135
48,class_specific,0.264605,0.016533,1,2.941945,0.004605,1,0.403301,0.000000,1,0.258139,0.021111,1,-0.064332,400,154
49,class_specific,0.162339,0.163614,0,0.070402,0.948551,0,0.361719,0.000000,1,0.174966,0.138236,0,-0.049844,400,132
