sim,scenario,lmm_coef,lmm_pval,lmm_reject,ancova_coef,ancova_pval,ancova_reject,lcmm_coef,lcmm_pval,lcmm_reject,jm_coef,jm_pval,jm_reject,jm_alpha,n_subjects,n_events
1,uniform,0.307100,0.001992,1,3.797155,0.000060,1,0.220545,0.004113,1,0.297254,0.003279,1,-0.080383,400,149
2,uniform,0.324042,0.001218,1,2.984292,0.001602,1,0.335481,0.025341,1,0.321043,0.001615,1,-0.063041,400,145
3,uniform,0.145070,0.166609,0,1.435761,0.145271,0,0.276177,0.000001,1,0.139424,0.190320,0,-0.069202,400,147
4,uniform,0.212615,0.047573,1,2.781214,0.003964,1,0.216789,0.000402,1,0.203727,0.063387,0,-0.079788,400,156
5,uniform,0.273965,0.006686,1,2.048064,0.035094,1,0.181118,0.005844,1,0.277634,0.006921,1,-0.068320,400,141
6,uniform,0.167671,0.081472,0,1.937129,0.033132,1,0.237781,0.000013,1,0.164019,0.092501,0,-0.060549,400,139
7,uniform,0.356256,0.000516,1,2.905782,0.002029,1,0.227313,0.000279,1,0.353236,0.000758,1,-0.078865,400,153
8,uniform,0.503645,0.000001,1,3.134534,0.000757,1,0.231720,0.008650,1,0.518573,0.000001,1,-0.081450,400,158
9,uniform,0.197700,0.065823,0,1.965072,0.048821,1,0.279048,0.005263,1,0.195105,0.074944,0,-0.078997,400,147
10,uniform,0.192222,0.059223,0,2.123419,0.024855,1,0.270210,0.000001,1,0.184750,0.074692,0,-0.076829,400,149
11,uniform,0.464517,0.000005,1,3.538849,0.000277,1,0.360356,0.001090,1,0.471573,0.000005,1,-0.080016,400,143
12,uniform,0.339210,0.001877,1,3.527291,0.000674,1,0.232844,0.000116,1,0.324616,0.003379,1,-0.071208,400,142
13,uniform,0.233984,0.024302,1,2.160118,0.024460,1,0.184573,0.000506,1,0.228447,0.030566,1,-0.076308,400,149
14,uniform,0.322283,0.002466,1,2.673805,0.008405,1,0.179091,0.023460,1,0.323878,0.002653,1,-0.052333,400,153
15,uniform,0.291145,0.004925,1,2.806617,0.006002,1,0.275465,0.000631,1,0.285679,0.006067,1,-0.042820,400,143
16,uniform,0.132549,0.163228,0,2.752052,0.001809,1,0.200128,0.002635,1,0.116679,0.228324,0,-0.073863,400,147
17,uniform,0.307244,0.002784,1,2.389051,0.010172,1,0.278626,0.000000,1,0.306860,0.003318,1,-0.070352,400,157
18,uniform,0.356350,0.000717,1,2.608931,0.007664,1,0.214767,0.001588,1,0.357296,0.000822,1,-0.053497,400,161
19,uniform,0.331894,0.001632,1,3.036899,0.001462,1,0.284873,0.005385,1,0.323186,0.002563,1,-0.065968,400,150
20,uniform,0.268325,0.005125,1,2.869659,0.002481,1,0.226042,0.000076,1,0.271617,0.004922,1,-0.049274,400,133
21,uniform,0.306890,0.002573,1,1.776861,0.054280,0,0.181142,0.000437,1,0.310550,0.002846,1,-0.080245,400,141
22,uniform,0.363211,0.000438,1,3.396143,0.000597,1,0.314798,0.024024,1,0.356481,0.000701,1,-0.063782,400,139
23,uniform,0.207362,0.056119,0,1.983380,0.044605,1,0.246225,0.001293,1,0.199998,0.070218,0,-0.068247,400,156
24,uniform,0.335495,0.000821,1,2.609779,0.005274,1,0.325667,0.008027,1,0.326778,0.001408,1,-0.085989,400,147
25,uniform,0.284085,0.005125,1,2.753180,0.003846,1,0.286208,0.014419,1,0.280278,0.006608,1,-0.068087,400,145
26,uniform,0.264232,0.009685,1,2.521671,0.007899,1,0.214650,0.001906,1,0.263906,0.012137,1,-0.089753,400,143
27,uniform,0.377521,0.000477,1,3.921626,0.000067,1,0.192776,0.008318,1,0.364982,0.000902,1,-0.064676,400,155
28,uniform,0.314523,0.002354,1,3.161491,0.001397,1,0.282975,0.000057,1,0.310697,0.003071,1,-0.063863,400,146
29,uniform,0.288448,0.005976,1,2.107563,0.035170,1,0.280018,0.000001,1,0.290776,0.006356,1,-0.068524,400,146
30,uniform,0.245102,0.011793,1,1.945388,0.027148,1,0.296188,0.001884,1,0.241168,0.014817,1,-0.075934,400,163
31,uniform,0.263145,0.008048,1,2.310222,0.023188,1,0.197638,0.000742,1,0.259769,0.009415,1,-0.060856,400,127
32,uniform,0.411795,0.000059,1,3.719450,0.000147,1,0.282566,0.000020,1,0.408008,0.000092,1,-0.076572,400,148
33,uniform,0.337203,0.001204,1,3.212168,0.000780,1,0.264495,0.000000,1,0.331048,0.001777,1,-0.066443,400,154
34,uniform,0.402641,0.000052,1,3.471406,0.000454,1,0.150323,0.006401,1,0.406040,0.000050,1,-0.056760,400,142
35,uniform,0.325147,0.001763,1,2.824475,0.002972,1,0.208177,0.001923,1,0.324769,0.002282,1,-0.079012,400,159
