sim,n,scenario,stress,lmm_coef,lmm_pval,lmm_reject,lcmm_coef,lcmm_pval,lcmm_reject,n_subjects,mean_obs
0,200,null,clean,-0.120036,0.313046,0,0.102481,0.133959,0,400,4.2
1,200,null,clean,-0.024219,0.848418,0,0.076921,0.446229,0,400,4.2
2,200,null,clean,0.153837,0.198739,0,0.115414,0.023495,1,400,4.2
3,200,null,clean,0.041656,0.741857,0,0.033461,0.628156,0,400,4.1
4,200,null,clean,-0.110153,0.379656,0,0.250391,0.009932,1,400,4.1
5,200,null,clean,0.045266,0.715276,0,0.047770,0.671426,0,400,4.1
6,200,null,clean,0.054111,0.662102,0,0.061347,0.377121,0,400,4.0
7,200,null,clean,0.086694,0.471151,0,-0.036870,0.584537,0,400,4.0
8,200,null,clean,0.123316,0.334132,0,0.152295,0.113206,0,400,4.1
9,200,null,clean,0.033816,0.800219,0,0.006447,0.914141,0,400,4.0
10,200,null,clean,0.016057,0.896515,0,0.077935,0.258591,0,400,4.0
11,200,null,clean,-0.122823,0.267892,0,0.092153,0.147678,0,400,4.0
12,200,null,clean,-0.013719,0.915837,0,-0.027210,0.636554,0,400,4.1
13,200,null,clean,-0.068944,0.556316,0,0.192688,0.140589,0,400,4.1
14,200,null,clean,-0.018763,0.878926,0,0.019020,0.773085,0,400,4.1
15,200,null,clean,-0.134266,0.275321,0,0.013105,0.777185,0,400,4.1
16,200,null,clean,-0.055000,0.665564,0,-0.021002,0.654190,0,400,4.1
17,200,null,clean,-0.082609,0.485181,0,0.078020,0.263069,0,400,4.2
18,200,null,clean,0.025005,0.839462,0,0.099334,0.042046,1,400,4.0
19,200,null,clean,0.153023,0.221071,0,0.128870,0.061416,0,400,4.1
20,200,null,clean,0.108616,0.388812,0,0.014549,0.880504,0,400,4.1
21,200,null,clean,-0.203053,0.113558,0,-0.030177,0.654766,0,400,4.1
22,200,null,clean,0.138983,0.261819,0,0.128268,0.235423,0,400,4.1
23,200,null,clean,-0.087714,0.463951,0,0.104130,0.091809,0,400,4.1
24,200,null,clean,0.123970,0.310541,0,0.108001,0.131704,0,400,4.1
25,200,null,clean,-0.058993,0.634472,0,0.000057,0.999081,0,400,4.0
26,200,null,clean,0.100204,0.425871,0,-0.019202,0.759811,0,400,4.1
27,200,null,clean,0.081934,0.505105,0,0.174937,0.138914,0,400,4.2
28,200,null,clean,-0.007664,0.950884,0,0.057492,0.316116,0,400,4.1
29,200,null,clean,0.043845,0.705575,0,0.124145,0.281973,0,400,4.1
30,200,null,clean,0.020248,0.872477,0,0.043301,0.452610,0,400,4.2
